,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id168,168,20,317149,387779,-71.11553192138672,42.37401746529124,-71.11518859863281,42.37376383130166
id169,169,20,317149,387780,-71.11553192138672,42.37376383130166,-71.11518859863281,42.37351019628779
id170,170,20,317149,387781,-71.11553192138672,42.37351019628779,-71.11518859863281,42.37325656024962
id171,171,20,317149,387782,-71.11553192138672,42.37325656024962,-71.11518859863281,42.373002923187165
id172,172,20,317149,387783,-71.11553192138672,42.373002923187165,-71.11518859863281,42.37274928510041
id173,173,20,317149,387784,-71.11553192138672,42.37274928510041,-71.11518859863281,42.37249564598936
id174,174,20,317149,387785,-71.11553192138672,42.37249564598936,-71.11518859863281,42.37224200585402
id175,175,20,317149,387786,-71.11553192138672,42.37224200585402,-71.11518859863281,42.3719883646944
id176,176,20,317150,387771,-71.11518859863281,42.376046500333125,-71.1148452758789,42.375792874537936
id177,177,20,317150,387772,-71.11518859863281,42.375792874537936,-71.1148452758789,42.37553924771845
id178,178,20,317150,387773,-71.11518859863281,42.37553924771845,-71.1148452758789,42.37528561987466
id179,179,20,317150,387774,-71.11518859863281,42.37528561987466,-71.1148452758789,42.37503199100657
id180,180,20,317150,387775,-71.11518859863281,42.37503199100657,-71.1148452758789,42.37477836111418
id181,181,20,317150,387776,-71.11518859863281,42.37477836111418,-71.1148452758789,42.3745247301975
id182,182,20,317150,387777,-71.11518859863281,42.3745247301975,-71.1148452758789,42.374271098256514
id183,183,20,317150,387778,-71.11518859863281,42.374271098256514,-71.1148452758789,42.37401746529124
id184,184,20,317150,387779,-71.11518859863281,42.37401746529124,-71.1148452758789,42.37376383130166
id185,185,20,317150,387780,-71.11518859863281,42.37376383130166,-71.1148452758789,42.37351019628779
id186,186,20,317150,387781,-71.11518859863281,42.37351019628779,-71.1148452758789,42.37325656024962
id187,187,20,317150,387782,-71.11518859863281,42.37325656024962,-71.1148452758789,42.373002923187165
id188,188,20,317150,387783,-71.11518859863281,42.373002923187165,-71.1148452758789,42.37274928510041
